Empresa;Aplicação;Entrevista;Resposta;Vaga;Etapa Gupy;Remoto;Senioridade;Data Submissão;Data entrevista;Data Resposta;Data Visualização;
Linx;LinkedIn;Não;N/A;Pessoa Desenvolvedora Python PL;N/A;Sim;Júnior;09/01/2022;N/A;N/A;N/A;
New Way;Gupy;Não;N/A;Desenvolvedor Chatbot Junior / Pleno;Cadastro;Sim;Júnior;09/01/2022;N/A;N/A;N/A;
Media by Kantar;LinkedIn;Não;N/A;Analista Desenvolvimento Junior - TI;N/A;Sim;Júnior;09/01/2022;N/A;N/A;N/A;
CGE - PB;Email;Não;N/A;Assistente Técnico;N/A;Não;N/A;10/01/2022;N/A;N/A;N/A;
Beegol;LinkedIn;Não;N/A;Engenheiro de Dados;N/A;Sim;N/A;10/01/2022;N/A;N/A;11/01/2022;
Deal;LinkedIn;Não;N/A;Desenvolvedor Python;N/A;Sim;N/A;10/01/2022;N/A;N/A;N/A;
Grupo Tapps / Tapps Ventures;Kenoby;Não;Genérica;Pessoa Desenvolvedora de Jogos III;N/A;Sim;N/A;11/01/2022;N/A;21/01/2022;N/A;
Grupo Tapps / Tapps Ventures;Kenoby;Não;Genérica;Analista de Projetos II;N/A;Sim;N/A;11/01/2022;N/A;14/01/2022;N/A;
Sympla;N/A;Não;Personalizada;Cientista de Dados;N/A;Sim;Senior;N/A;N/A;18/01/2022;N/A;
Etho Soluções;LinkedIn;Não;Genérica;Engenheiro de Dados (Python/Hadoop/SQL/ETL)-Junior/Pleno;N/A;Sim;Júnior;12/01/2022;N/A;22/01/2022;N/A;
Global Talent Recruitment Company (Linkein / Workable);LinkedIn;Não;N/A;Analista de Dados Jr - Campinas;N/A;Sim;Júnior;12/01/2022;N/A;N/A;N/A;
Amazon;Site;Não;N/A;Game Dev Engineer - AWS Learning Products;N/A;Sim;N/A;12/01/2022;N/A;N/A;12/01/2022;
Axonius;N/A;Não;Genérica;Backend Engineer (Brazil);N/A;Sim;N/A;12/01/2022;N/A;19/01/2022;N/A;
Aquiris Gama Studio (linkedin / workable);LinkedIn;Não;Genérica;Level Designer;N/A;Sim;N/A;12/01/2022;N/A;12/01/2022;12/01/2022;
ProWay;LinkedIn;Não;N/A;Intrutor Java, C#, PHP,Python, flutter ou Análise de Dados;N/A;Sim;N/A;13/01/2022;N/A;N/A;N/A;
strm;LinkedIn;Não;N/A;Desenvolvedor Python - foco em Engenharia de Dados;N/A;Sim;N/A;14/01/2022;N/A;N/A;17/01/2022;
Qexpert;Gupy;Não;Genérica;Analista de Dados Junior;N/A;Sim;Júnior;N/A;N/A;14/01/2022;N/A;
Assurance;LinkedIn;Não;N/A;Desenvolvedor Python;N/A;Sim;N/A;17/01/2022;N/A;N/A;N/A;
Minds;LinkedIn;Não;N/A;Cientista de Dados Jr;N/A;Sim;Júnior;17/01/2022;N/A;N/A;N/A;
Cloudto.do;LinkedIn;Não;N/A;Desenvolvedor Python;N/A;Sim;N/A;17/01/2022;N/A;N/A;N/A;
Serasa;Site;Não;N/A;Desenvolvedor Python Jr;N/A;Sim;Júnior;N/A;N/A;17/01/2022;N/A;
Inmetrics;Kenoby;Não;N/A;Desenvolvedor Back End Pl (Python);N/A;Sim;Pleno;N/A;N/A;N/A;18/01/2022;
Luizalabs;LinkedIn;Não;N/A;Desenvolvedor Back-End - Python;N/A;Sim;N/A;19/01/2022;N/A;N/A;01/02/2022;
Prioriza Webshop;LinkedIn;Não;N/A;Engenheiro de Dados;N/A;Sim;N/A;19/01/2022;N/A;N/A;N/A;
EVT;LinkedIn;Não;Genérica;Engenheiro de Dados;N/A;Sim;N/A;19/01/2022;N/A;22/01/2022;19/01/2022;
Magaeda.Digital;LinkedIn;Não;N/A;Analista de Dados;N/A;Sim;N/A;19/01/2022;N/A;N/A;N/A;
Lumen Games;LinkedIn;Não;N/A;Analista de Dados;N/A;Sim;N/A;21/01/2022;N/A;N/A;24/01/2022;
TFG, Ltd. - Wildlife Studios;LinkedIn;Não;N/A;Game Engineering Manager;N/A;Sim;N/A;21/01/2022;N/A;N/A;21/01/2022;
Adroit Robotics;LinkedIn;Não;N/A;Desenvolvedor Python;N/A;Sim;N/A;21/01/2022;N/A;N/A;N/A;
Digitial house;Kenoby;Não;N/A;Professor Assistente de Data Science;N/A;Sim;N/A;26/01/2022;N/A;N/A;N/A;
Boreal Fintech Data Driven;LinkedIn;Não;Genérica;Engenheiro de Dados - Python;N/A;Sim;N/A;31/01/2022;N/A;17/02/2022;14/02/2021;
Indra;Gupy;Não;N/A;Desenvolvedor Web/Fullstack;Cadastro;Não;N/A;01/02/2022;N/A;N/A;N/A;
LDS - Pesquisa, Desenvolvimento;LinkedIn;Não;N/A;Desenvolvedor Python;N/A;Sim;N/A;04/02/2022;N/A;N/A;14/02/2022;
Grupo boticário;Gupy;Não;N/A;Pessoa Desenvolvedora Backend Especialista I - Python (Produtos Digitais Financeiros);N/A;Sim;N/A;04/02/2022;N/A;N/A;N/A;
Prota Games;LinkedIn;Não;N/A;Game Designer;N/A;Sim;N/A;09/02/2022;N/A;N/A;09/02/2022;
Space Sheep;Kenoby;Não;N/A;Game Designer III;N/A;Sim;N/A;09/02/2022;N/A;N/A;N/A;
Falconi;LinkedIn;Não;N/A;Cientista de Dados Junior;N/A;Sim;N/A;17/02/2022;N/A;N/A;N/A;
Spassu Tecnologia;LinkedIn;Não;Genérica;Pessoa Desenvolvedora Python;N/A;Sim;N/A;N/A;N/A;14/02/2022;N/A;
Phoebus Tecnologia;LinkedIn;Não;Genérica;Engenheiro de Dados Junior (IA/BI);N/A;Sim;N/A;N/A;N/A;14/02/2022;N/A;
GM Importação;Email;Não;N/A;Suporte Técnico;N/A;Não;N/A;15/02/2022;N/A;N/A;N/A;
GM Importação;Email;Não;N/A;Programação;N/A;Não;N/A;15/02/2022;N/A;N/A;N/A;
Alpargatas;LinkedIn;Não;Genérica;Analista de Dados Junior;N/A;Sim;Júnior;N/A;N/A;16/02/2022;N/A;
BLU365;LinkedIn;Não;N/A;Engenheiro de Dados Junior/Pleno;N/A;Sim;Júnior;16/02/2022;N/A;N/A;16/02/2022;
Havan;Gupy;Não;N/A;Banco de Talentos;N/A;Não;N/A;16/02/2022;N/A;N/A;N/A;
PEBMED;Gupy;Não;Genérica;Cientista de Dados Junior;Resposta;Sim;Júnior;21/02/2022;N/A;25/02/2022;N/A;
Gympass;LinkedIn;Não;N/A;jr Python Developer;N/A;Sim;N/A;24/02/2022;N/A;02/03/2022;N/A;
TOTVS;Gupy;Não;N/A;Analista de Dados Junior;Resposta;Sim;Júnior;N/A;N/A;24/02/2022;N/A;
Nomad Global;Gupy;Não;N/A;Analista de Dados Junior;Cadastro;Sim;Júnior;27/02/2022;N/A;N/A;N/A;
Zurich Santander Insurance America;LinkedIn;Não;N/A;Analista de Dados Junior;N/A;Sim;Júnior;27/02/2022;N/A;N/A;N/A;
KeyCash;LinkedIn;Não;N/A;Data Engineer Jr;N/A;Sim;Júnior;27/02/2022;N/A;N/A;N/A;
Construtora Brascon;Email;Não;N/A;Assistente de TI;N/A;Não;N/A;02/03/2022;N/A;N/A;N/A;
Cirne;Email;Não;N/A;Assistente de TI;N/A;Não;N/A;02/03/2022;N/A;N/A;N/A;
SondaRH;Site;Não;N/A;Assistente de TI;N/A;Não;N/A;02/03/2022;N/A;03/03/2022;N/A;
Gauge;LinkedIn;Não;N/A;Engenheiro de dados Jr e Pleno;N/A;Sim;Júnior;02/03/2022;N/A;N/A;N/A;
IBPAD;LinkedIn;Não;Genérica;Data Science Jr.;N/A;Sim;Júnior;02/03/2022;N/A;06/03/2022;N/A;
Helpper - Soluções Inteligentes;LinkedIn;Não;N/A;Analista de Dados;N/A;Sim;N/A;08/03/2022;N/A;N/A;N/A;
Stone;LinkedIn;Não;N/A;Analista de Dados;N/A;Sim;N/A;08/03/2022;N/A;N/A;N/A;
